acc_calibrated,acc_ideal,acc_raw,cell_fits_default,chip_area_um2,dyn_energy_pj,g_col_ms,i_cell_ua,i_col_ma,latency_ns,loading_err_pct,onoff,r_hrs,r_lrs,rel_cell_area,retained_pct,tops_per_mm2,tops_per_w,tx_width_f
92.43,92.81,11.61,False,,,70.7911658924223,184.2299189388357,9.432571849668388,,58.606244396605575,402.7030213706706,218587.2,542.8,10.606666666666667,41.39375560339442,,,127.28
92.49,92.81,61.45,False,,,38.42544484640682,100.0,5.12,,43.455189751265635,402.7030213706706,402703.02137067064,1000.0,5.757298666666666,56.544810248734365,,,69.08758399999999
92.09,92.81,86.48,False,,,19.21272242320341,50.0,2.56,,27.758946260958506,402.7030213706706,805406.0427413413,2000.0,2.878649333333333,72.24105373904149,,,34.543791999999996
92.15,92.81,91.4,True,100564000.0,15305200.0,6.40424080773447,16.666666666666668,0.8533333333333334,167394.0,11.354183153647357,402.7030213706706,2416218.1282240236,6000.0,0.9595497777777776,88.64581684635264,0.0731766,65.6143,11.514597333333331
92.1,92.81,92.01,True,89410200.0,11732900.0,1.9212722423203412,5.0,0.25600000000000006,139236.0,3.7003566348559835,402.7030213706706,8054060.427413412,20000.0,0.2878649333333333,96.29964336514402,0.0989497,85.573,3.4543791999999995
92.36,92.81,92.19,True,87677300.0,10516700.0,0.7685088969281365,2.0000000000000004,0.10240000000000002,123733.0,1.513751169033517,402.7030213706706,20135151.068533532,50000.0,0.11514597333333333,98.48624883096649,0.113548,95.4775,1.38175168
92.42,92.81,92.26,True,87677300.0,10113800.0,0.38425444846406825,1.0000000000000002,0.05120000000000001,121552.0,0.7626478801172065,402.7030213706706,40270302.137067065,100000.0,0.057572986666666666,99.2373521198828,0.115585,99.2691,0.69087584
