block_size,tile_m,tile_k,acc_fp32,acc_ptq,acc_qat,util_qat,resid_qat,snr_digital_db,snr_analog_db,snr_gap_db,relerr_analog_pct,cell_util_pct,pj_per_mac,tops_per_w,area_mm2,adc_energy_frac,total_tiles,n_layers
32,32,16,93.21,89.05,92.62,42.06861140269365,50.07584588385944,13.647739737164988,10.975109555643991,2.672630181520997,28.175264317618502,41.27606843647204,0.08869075715339564,22.550264133396535,789.7917308927998,0.8914791629076556,21792,19
64,64,16,92.61,83.74,92.51,37.10669518917493,55.848702938189874,12.374169458837285,8.762644405490406,3.6115250533468792,36.63700064554562,35.42340150353504,0.045908021001886366,43.56537172268479,537.0045308928,0.8614425130700349,10896,19
128,128,16,92.61,82.49,92.74,31.198026010118394,61.27713177461954,11.425708245329972,6.782263274400145,4.643444970929827,46.002312314636015,30.637129844977842,0.024590817249982244,81.33117251324553,411.81683671039997,0.8070597620827841,5464,19
256,256,16,92.6,76.68,92.51,25.675715643928964,66.04236449050032,10.492451142330388,5.083288961394793,5.409162180935596,56.26376438373436,26.484474940606724,0.01409200793858807,141.92441621633,354.0461187072,0.7165850533995304,2776,19
