M,r_wl,r_drv,raw,raw_uncal,col,colrow
32,0.5,50.0,19.9423670433684,57.71244984084586,35.89557025612748,14.06105271616066
64,0.5,50.0,23.36529245891678,70.07988661596772,40.60965750167039,17.731214913177755
128,0.5,50.0,61.11609324179373,87.81526965263565,55.874956356884475,47.44454108348848
256,0.5,50.0,75.98296203598166,91.56280729043365,62.84102469405977,68.65045873928457
