layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale_min,weight_scale_max,weight_scale_ratio,M,K
layer1.0.conv1,11.390051574708695,7.146320438930092,24.785061370902206,43.76473132369178,24.94574652777778,nan,0.0625,0.5,8.0,576,64
layer1.0.conv2,10.744388388838505,7.432079849907122,28.849236549337473,43.540084922885484,27.406141493055557,nan,0.0625,0.5,8.0,576,64
layer1.1.conv1,11.853181351250422,7.6595292044696714,27.09682197376307,44.06100884080249,28.016493055555557,nan,0.0625,0.5,8.0,576,64
layer1.1.conv2,10.64917818084226,7.408954213066918,29.122839236175967,43.04559800105981,28.97677951388889,nan,0.0625,0.25,4.0,576,64
layer2.0.conv1,11.321710934530865,6.74058786506283,26.655109796697552,46.26223504316001,30.470106336805557,nan,0.03125,0.125,4.0,576,128
layer2.0.conv2,12.177507534764798,6.328760582716181,24.613300056491404,47.86324956593578,31.089274088541668,nan,0.03125,0.125,4.0,1152,128
layer2.0.downsample.0,7.112427791611809,6.863746422468897,41.97752781318599,44.51848757353715,36.9140625,nan,0.125,0.5,4.0,64,128
layer2.1.conv1,12.1948800108405,6.380061253109584,24.03340518332964,47.42374640762775,32.135009765625,nan,0.03125,0.25,8.0,1152,128
layer2.1.conv2,12.026744310389518,6.64048738243814,24.703840047104283,46.168871082230666,32.67347547743056,nan,0.03125,0.125,4.0,1152,128
layer3.0.conv1,11.531085291849571,6.839946991271818,26.094423855846912,45.469743636850964,28.85504828559028,nan,0.03125,0.125,4.0,1152,256
layer3.0.conv2,11.381496763906167,6.669284255436251,26.66839271045082,46.57257972087678,29.773966471354168,nan,0.03125,0.125,4.0,2304,256
layer3.0.downsample.0,7.606443112458634,6.327002707740515,41.18715140000431,47.33752972456877,28.08837890625,nan,0.0625,0.25,4.0,128,256
layer3.1.conv1,12.26649280279821,6.44876172862906,23.81627223264999,47.7298097967595,30.771891276041668,nan,0.03125,0.125,4.0,2304,256
layer3.1.conv2,11.265938772595144,6.368916517442917,26.995575161510267,48.050537877946375,34.41365559895833,nan,0.03125,0.125,4.0,2304,256
layer4.0.conv1,11.912608659731664,7.439577237817687,25.216047109495737,42.4618753869688,28.647443983289932,nan,0.015625,0.0625,4.0,2304,512
layer4.0.conv2,14.066202097596822,6.628557856491625,19.518130744489806,47.10650177498503,29.847759670681423,nan,0.015625,0.0625,4.0,4608,512
layer4.0.downsample.0,9.511958958850359,5.932118541364853,32.13604046420567,50.84633931533204,34.12628173828125,nan,0.0625,0.125,2.0,256,512
layer4.1.conv1,13.931635302183311,6.993339503549725,19.985977774500974,45.21437906084093,30.075242784288193,nan,0.015625,0.0625,4.0,4608,512
layer4.1.conv2,14.144524821522229,6.614969661688854,18.136071014971687,46.60662492202421,34.87870958116319,nan,0.015625,0.03125,2.0,4608,512
