layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale_min,weight_scale_max,weight_scale_ratio,M,K
layer1.0.conv1,14.8394237228819,11.534595981125548,16.512286623141975,26.505384013255117,38.60134548611111,nan,0.03125,0.5,16.0,576,64
layer1.0.conv2,11.380706443992405,10.42758251917395,26.46386765996617,30.521612327167837,40.72808159722222,nan,0.03125,0.5,16.0,576,64
layer1.1.conv1,13.961148200407752,11.463613258990598,19.88191798629672,26.52542368296461,40.30219184027778,nan,0.03125,0.25,8.0,576,64
layer1.1.conv2,13.53932627337201,10.987293727993901,20.371471381207478,27.748387346414734,41.97319878472222,nan,0.03125,0.25,8.0,576,64
layer2.0.conv1,14.145425633614854,10.90936382370769,19.568199999760036,28.344211687883796,42.39637586805556,nan,0.03125,0.25,8.0,576,128
layer2.0.conv2,13.979344152480337,11.214506632920902,19.76067738415753,27.18043920777421,39.90681966145833,nan,0.03125,0.125,4.0,1152,128
layer2.0.downsample.0,8.509783887927057,8.396633424287202,36.77621884622838,37.06078359957037,42.0654296875,nan,0.0625,0.5,8.0,64,128
layer2.1.conv1,14.989160640768768,11.666338693851062,17.696980705627674,25.78248489780283,40.58091905381944,nan,0.015625,0.125,8.0,1152,128
layer2.1.conv2,13.37268671204978,11.1488832604359,21.079003585392268,27.58882604045474,40.99392361111111,nan,0.03125,0.125,4.0,1152,128
layer3.0.conv1,13.788553197905669,11.029276525844146,20.007889603345703,27.894217021758912,42.36789279513889,nan,0.015625,0.125,8.0,1152,256
layer3.0.conv2,14.008435237501544,11.197938639153861,20.05884620562892,27.522964654054864,41.68904622395833,nan,0.015625,0.125,8.0,2304,256
layer3.0.downsample.0,8.988954754200016,8.659429551328051,34.82460987130937,36.37842374768903,40.41748046875,nan,0.0625,0.25,4.0,128,256
layer3.1.conv1,14.653216418912805,11.2522119021499,18.24757546145659,27.32022653677311,42.43655734592014,nan,0.015625,0.125,8.0,2304,256
layer3.1.conv2,13.455937511044267,11.222106269103207,21.173036369256042,27.343623877657144,41.57053629557292,nan,0.015625,0.125,8.0,2304,256
layer4.0.conv1,14.470172123372647,11.419689712073795,18.72705166042863,26.718222947981207,41.484324137369796,nan,0.0078125,0.0625,8.0,2304,512
layer4.0.conv2,16.527068277836168,11.76213110430992,14.672135936405112,25.818291367627797,42.43876139322917,nan,0.0078125,0.0625,8.0,4608,512
layer4.0.downsample.0,11.2261441149195,10.336936972094048,26.32611932522987,29.456837620959835,39.593505859375,nan,0.03125,0.125,4.0,256,512
layer4.1.conv1,16.454656771024233,11.895424313453075,14.884537481502718,25.3164851729437,42.185719807942704,nan,0.0078125,0.0625,8.0,4608,512
layer4.1.conv2,17.01691093192304,12.003125245239087,13.249215610227377,24.303176284017717,42.51319037543403,nan,0.0078125,0.03125,4.0,4608,512
