block_size,t_seconds,t_label,acc_ideal,raw,raw_sd,stale,stale_sd,recalib,recalib_sd
32,31536000.0,1y,92.42,10.006666666666666,0.009428090415820432,72.76,0.6707210050883038,91.71,0.1358921140709316
64,31536000.0,1y,92.47,10.0,0.0,78.8,0.6669332800213238,91.91000000000001,0.23338094752285773
128,31536000.0,1y,92.81,10.0,0.0,80.62666666666667,1.1522249008862009,91.86999999999999,0.24832774042918823
256,31536000.0,1y,92.43,10.0,0.0,86.05000000000001,0.2736177382164157,91.46333333333332,0.03399346342395164
