block_size,t_seconds,t_label,acc_ideal,raw,raw_sd,stale,stale_sd,recalib,recalib_sd
32,31536000.0,1y,92.42,10.0,0.0,80.38999999999999,0.48833048918398314,91.68666666666667,0.08178562764256976
64,31536000.0,1y,92.47,10.0,0.0,85.00666666666666,0.27932458220181766,91.77666666666666,0.2509094568874501
128,31536000.0,1y,92.81,10.0,0.0,87.26666666666667,0.6102640594220027,91.86333333333333,0.29408993333483574
256,31536000.0,1y,92.43,10.0,0.0,89.54333333333334,0.14055445761538407,91.48,0.12727922061357666
