block_size,t_seconds,t_label,acc_ideal,raw,raw_sd,stale,stale_sd,recalib,recalib_sd
32,31536000.0,1y,92.42,14.660000000000002,0.37691732073051076,66.72666666666667,0.6558624517042825,91.75333333333333,0.1596524001977075
64,31536000.0,1y,92.47,12.796666666666667,0.3937286149395577,71.90666666666667,1.115476978197615,91.68666666666667,0.19136933459209687
128,31536000.0,1y,92.81,10.0,0.0,71.73,1.3283322877453017,91.73,0.2654555832275271
256,31536000.0,1y,92.43,10.0,0.0,79.55,0.2871701005791989,91.36666666666667,0.17556258776351713
