cell,chip_area_um2,cim_array_um2,ic_area_um2,adc_area_um2,accum_area_um2,other_area_um2,latency_ns,dyn_energy_pj,leak_energy_pj,leak_power_uw,buffer_energy_pj,ic_energy_pj,tops_per_w,tops,fps,tops_per_mm2,accuracy_pct,req_tx_width_f,adc_energy_pj,accum_energy_pj,other_energy_pj
sram,80056100.0,21031200.0,12141100.0,15384400.0,,11549600.0,132974.0,34176500.0,298198.0,2242.53,187013.0,3053800.0,29.2882,9.26374,7520.27,0.115716,90.0,,23249800.0,,7108030.0
rram,312290000.0,38457100.0,24983500.0,42692900.0,,97531000.0,397439.0,224036000.0,904580.0,2276.02,187013.0,6856150.0,4.48875,3.09943,2516.11,0.00992485,90.0,,140243000.0,,79974000.0
