epoch,loss,train_acc,test_acc,cell_utilization_pct,quant_residual_pct,lr
1,0.22467897772789003,93.998,69.96,32.223183608090125,60.09881030647273,0.00975528258147578
2,0.18849171233654022,95.194,69.9,32.253970063555435,60.29626987004335,0.009045084971874737
3,0.1653773829460144,95.844,70.51,32.26243969977515,60.455801859845934,0.007938926261462372
4,0.1365280896091461,96.866,71.06,32.26114012596366,60.56098876286108,0.006545084971874744
5,0.11715507492542267,97.51,71.34,32.238653017735864,60.636836924004875,0.005000000000000006
6,0.09197977565526962,98.342,72.0,32.21314552071861,60.672373343726605,0.003454915028125266
7,0.07871979084730148,98.736,72.14,32.19257640418502,60.70011846176525,0.002061073738537637
8,0.06946393617630005,98.934,72.03,32.17007137080121,60.71372639192616,0.0009549150281252641
9,0.06440832410335541,99.15,72.21,32.158043591111415,60.72122639227943,0.0002447174185242322
10,0.059850452902317046,99.296,72.35,32.15589257238895,60.72294330086183,0.0
