layer,snr_digital_db,snr_analog_db,relerr_digital_pct,relerr_analog_pct,cell_utilization_pct,rtl_relerr_pct,weight_scale_min,weight_scale_max,weight_scale_ratio,M,K
layer1.0.conv1,13.120113659053168,9.292629037028368,21.16187078762514,34.529219990544206,30.73187934027778,nan,0.0625,0.5,8.0,576,64
layer1.0.conv2,11.586926318601694,9.268415252636355,27.18789007867756,36.11479163475638,33.251953125,nan,0.0625,0.25,4.0,576,64
layer1.1.conv1,12.117259197729915,9.365244527530617,24.082303647601016,34.740366331248545,32.50325520833333,nan,0.0625,0.5,8.0,576,64
layer1.1.conv2,12.526914028277709,9.632421140931397,23.196322933363053,33.13403534174288,34.74934895833333,nan,0.0625,0.25,4.0,576,64
layer2.0.conv1,12.437865403038174,8.612967974166343,23.68536039870179,36.94962707047779,36.36203342013889,nan,0.03125,0.25,8.0,576,128
layer2.0.conv2,12.737969458813243,8.773533930903708,23.259621710925035,36.616615836685504,34.75680881076389,nan,0.03125,0.125,4.0,1152,128
layer2.0.downsample.0,6.17185802041975,6.146436006614228,45.57970738223397,46.813140782035354,36.328125,nan,0.125,0.5,4.0,64,128
layer2.1.conv1,13.404406635578589,8.893320458724778,21.23454001456099,36.098000307527116,35.90359157986111,nan,0.03125,0.125,4.0,1152,128
layer2.1.conv2,12.408971828654789,9.140717266690173,23.927669018543344,34.598293271675566,35.443115234375,nan,0.03125,0.125,4.0,1152,128
layer3.0.conv1,12.714955708144164,8.769777542696382,22.966473998498266,36.64985109796577,35.03519694010417,nan,0.015625,0.125,8.0,1152,256
layer3.0.conv2,12.434337632307553,8.803861001930727,23.71960573096254,36.31405429149063,35.93665228949653,nan,0.015625,0.125,8.0,2304,256
layer3.0.downsample.0,7.6968893449630436,7.430978500467937,41.378454174786164,42.8191957924689,32.77587890625,nan,0.0625,0.25,4.0,128,256
layer3.1.conv1,13.344010751066522,8.559876708826126,20.84812841752314,37.136572125819605,37.35521104600694,nan,0.015625,0.125,8.0,2304,256
layer3.1.conv2,12.326589512275044,8.881031776693076,24.04586940963831,36.02924527285541,38.25293646918403,nan,0.015625,0.125,8.0,2304,256
layer4.0.conv1,13.339966650015224,9.290266122769824,21.212558428626977,34.11874255048158,34.740956624348954,nan,0.015625,0.0625,4.0,2304,512
layer4.0.conv2,15.216944209485177,8.938915117173579,16.98418865705155,36.10060770769044,37.04833984375,nan,0.0078125,0.0625,8.0,4608,512
layer4.0.downsample.0,10.290863156834282,8.267866247071982,29.804487292755688,38.453371903706156,35.43853759765625,nan,0.03125,0.125,4.0,256,512
layer4.1.conv1,15.254677840938239,9.159639105702478,16.887433774015744,34.969564586510224,37.00718349880642,nan,0.0078125,0.0625,8.0,4608,512
layer4.1.conv2,15.977700361712149,9.262345985759628,14.898680827628969,33.917716369684676,39.42362467447917,nan,0.0078125,0.0625,8.0,4608,512
