block_size,t_seconds,t_label,acc_ideal,raw,raw_sd,stale,stale_sd,recalib,recalib_sd
32,31536000.0,1y,92.42,31.02,0.5061620293937507,62.953333333333326,0.6779544396360444,91.76666666666667,0.1419702629269837
64,31536000.0,1y,92.47,26.106666666666666,0.8490124982720938,67.02666666666666,1.27546941249966,91.64333333333333,0.07542472332656346
128,31536000.0,1y,92.81,10.379999999999999,0.13366625103842297,63.38333333333333,2.1988229174315577,91.62333333333333,0.41063636251825264
256,31536000.0,1y,92.43,10.196666666666667,0.07133644853010906,71.85666666666667,0.5208539995899899,91.27,0.07788880963698525
