ideal,raw,corrected,bn,block_size,n_bn_layers,bn_gap,corrected_gap,bn_recovers
92.42,78.9,92.35,90.75,32,20,1.6700000000000017,0.07000000000000739,11.849999999999994
92.47,57.47,92.09,90.09,64,20,2.3799999999999955,0.37999999999999545,32.620000000000005
92.81,11.53,92.42,90.62,128,20,2.1899999999999977,0.39000000000000057,79.09
92.43,10.0,91.88,90.24,256,20,2.190000000000012,0.5500000000000114,80.24
