cell,chip_area_um2,cim_array_um2,ic_area_um2,adc_area_um2,accum_area_um2,other_area_um2,latency_ns,dyn_energy_pj,leak_energy_pj,leak_power_uw,buffer_energy_pj,ic_energy_pj,tops_per_w,tops,fps,tops_per_mm2,accuracy_pct,req_tx_width_f,adc_energy_pj,accum_energy_pj,other_energy_pj,_cfg
sram,21651900.0,5435440.0,4245030.0,3976040.0,3130300.0,4002960.0,123549.0,9508000.0,59938.2,485.138,98207.3,1716640.0,105.53,9.97044,8093.97,0.460487,89.0,,5832470.0,888233.0,2787290.0,"weight 2b, cell 2b -> 1 cell(s) per weight  [FP2: one cell, no shift-add tree]"
rram,100564000.0,931790.0,9866970.0,2054420.0,2926470.0,14629000.0,167394.0,15305200.0,83247.6,497.315,98207.3,3904750.0,65.6143,7.3589,5973.93,0.0731766,89.0,,7830680.0,888233.0,6586270.0,"weight 2b, cell 2b -> 1 cell(s) per weight  [FP2: one cell, no shift-add tree]"
