block_size,t_seconds,t_label,acc_ideal,raw,raw_sd,stale,stale_sd,recalib,recalib_sd
32,31536000.0,1y,92.42,44.24333333333333,0.259529488797622,60.86000000000001,0.7446251853561389,91.80666666666666,0.018856180831637516
64,31536000.0,1y,92.47,40.446666666666665,0.5700487308604028,64.14666666666666,1.2209377088487727,91.67999999999999,0.19304576314093566
128,31536000.0,1y,92.81,17.66,1.3161306925985727,57.653333333333336,2.403904231777038,91.53000000000002,0.3252691193458175
256,31536000.0,1y,92.43,19.326666666666668,1.4142685584978392,65.59666666666668,0.5391557185905475,90.98666666666666,0.07408703590297343
